Reference,Qty,Value,Notes,Footprint,Datasheet/note,Supplier,part,Weblink,DIGIKEY NUMBER,,
"C1,C8",2,470uF,,Capacitor_THT:CP_Radial_D10.0mm_P2.50mm,~,digikey,UHE1E471MPD6,https://www.digikey.com/en/products/detail/nichicon/UHE1E471MPD6/589294,,Electrolytic,
C2,1,47pF,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,digikey,CD15ED470JO3,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/CD15ED470JO3/337841,,,
"C3,C4,C5",3,270nF,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,"220, 300 use what is close",digikey,,,,Ceramic capacitor,
C6,1,10uF,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,digikey,493-13450-1-ND,https://www.digikey.com/en/products/detail/nichicon/UVZ1E100MDD1TD/4342006,,Electrolytic,
"C7,C10",2,100nF,0.1uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,digikey,K104K15X7RF53H5,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF53H5/2820505,,,
C9,1,220nF,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,used substitute 300nF,,,,,Electrolytic,
D1 to D10,10,LED,,LED_THT:LED_D3.0mm,square LED from Ali Express 2mm x 5 mm,ALI Express,,,,,
D11,1,1N4007,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf,digikey,1N4007GOS-ND,https://www.digikey.com/en/products/detail/onsemi/1N4007G/1485479,,ceramic,
J2,1,GPIO_Header,,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,Aliexpress,,,,,,
J3,1,AudioJack3_Switch,,Connector_Audio:Jack_3.5mm_PJ31060-I_Horizontal,mono output only 2 pins needed ,digikey,SJ1-3533NG / SJ1-3535NG,"https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ1-3533NG/738701
https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ1-3535NG/738699",,"might be better top connect, side screws",
J4,1,Ext_Pin,,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Horizontal,optional,digikey,61300311121,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300311121/4846825,,,
"J1, J5",2,"Power in_+5V, Speaker out",,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,5V in and speaker out (consider RF out),,283-5130-ND,https://www.digikey.com/en/products/detail/eaton-electronics-division/EM366002/7718144,,,
R1,1,1MOhm,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,digikey,A105943CT-ND ,https://www.digikey.com/en/products/detail/te-connectivity-passive-product/YR1B1M0CC/2380511,,,
"R2,R4",2,10kOhm,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,digikey,MFR-25FRF52-10K,https://www.digikey.com/en/products/detail/yageo/MFR-25FRF52-10K/14626,,,
R3,1,10_Ohm,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,digikey,MFR-25FBF52-11R,https://www.digikey.com/en/products/detail/yageo/MFR-25FBF52-11R/4187,,,
RV1,1,100kOhm,,Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical,unique footprint ?,digikey,PDB12-M4251-104BF-ND,https://www.digikey.com/en/products/detail/bourns-inc/PDB12-M4251-104BF/3780670,,,
"JP1, SW1, SW2",3,"Amp or Jack, VU_Mode, VU_input",,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,digikey,61300311121,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300311121/4846825,,,
SW3,1,Power_Switch,,Button_Switch_THT:SW_E-Switch_EG1224_SPDT_Angled,"(cuts out the noise, volume also works) ",digikey,EG2585-ND,https://www.digikey.com/en/products/detail/e-switch/EG1224/502052,,,
U1,1,LM386,,Package_DIP:DIP-8-16_W7.62mm_Socket_LongPads,http://www.ti.com/lit/ds/symlink/lm386.pdf,digikey,LM386N-4/NOPB,https://www.digikey.com/en/products/detail/texas-instruments/LM386N-4-NOPB/148192,,,
U2,1,LM3915N,,Package_DIP:DIP-18_W7.62mm,https://www.ti.com/lit/ds/symlink/lm3914.pdf,ALI Express,,,,,
U4,1,SN76489AN,,Package_DIP:DIP-16_W7.62mm,SN76489AN,ALI Express,,,,,
Y1,1,ACO-4.0MHz,,Oscillator:Oscillator_DIP-14,http://www.conwin.com/datasheets/cx/cx030.pdf,EBAY,ECS-2100A-040,https://www.digikey.com/en/products/detail/ecs-inc/ECS-2100A-040/79196,,from Digikey,
U2,1,LM3915N,,,,Package_DIP:DIP-18_W7.62mm,https://www.ti.com/lit/ds/symlink/lm3914.pdf,,,From Ebay,
U4,1,SN76489AN,,,,Package_DIP:DIP-16_W7.62mm,SN76489AN,,,From Ali Express,
Y1,1,ACO-4.0MHz,,,,Oscillator:Oscillator_DIP-14,http://www.conwin.com/datasheets/cx/cx030.pdf,,,From Ali Express / Digi,https://www.digikey.com/en/products/detail/ecs-inc/ECS-2100A-040/79196
